id,icon_svg_url,created_at,updated_at,name,icon_url,category,activity_type_internal_name,has_gps,is_current,has_survey
126,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/assault_bike.svg,2022-04-25T15:01:39.260+0000,2022-06-03T20:06:45.460+0000,Assault Bike,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/assault_bike.png,cardiovascular,,False,True,True
85,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/australian_football.svg,2019-08-16T22:51:26.059+0000,2022-06-03T20:06:45.475+0000,Australian Football,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/australian_football.png,cardiovascular,,False,True,True
107,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/barre.svg,2021-04-07T20:24:46.347+0000,2022-06-03T20:06:45.494+0000,Barre,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/barre.png,non-cardiovascular,,False,True,False
16,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/baseball.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.511+0000,Baseball,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/baseball.png,non-cardiovascular,,False,True,True
17,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/basketball.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.527+0000,Basketball,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/basketball.png,cardiovascular,,False,True,True
103,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/crossfit.svg,2021-03-04T13:21:19.803+0000,2022-06-03T20:06:45.543+0000,Box Fitness,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/crossfit.png,cardiovascular,,False,True,True
39,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/boxing.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.560+0000,Boxing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/boxing.png,cardiovascular,,False,True,True
93,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/caddying.svg,2020-05-05T21:39:20.523+0000,2022-06-03T20:06:45.574+0000,Caddying,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/caddying.png,cardiovascular,,True,True,True
113,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/circus-arts.svg,2021-07-08T15:06:16.275+0000,2022-06-03T20:06:45.616+0000,Circus Arts,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/circus-arts.png,non-cardiovascular,,False,True,True
83,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/climber.svg,2018-07-16T18:02:38.560+0000,2022-06-03T20:06:45.631+0000,Climber,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/climber.png,cardiovascular,,False,True,True
87,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/coaching.svg,2019-12-17T16:01:33.761+0000,2022-06-03T20:06:45.644+0000,Coaching,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/coaching.png,non-cardiovascular,,False,True,False
89,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/commuting.svg,2019-12-17T16:01:33.761+0000,2022-06-03T20:06:45.662+0000,Commuting,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/commuting.png,cardiovascular,,True,True,True
100,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/cricket.svg,2020-10-01T20:12:02.307+0000,2022-06-03T20:06:45.677+0000,Cricket,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/cricket.png,non-cardiovascular,,False,True,False
47,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/cross_country_skiing.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:45.697+0000,Cross Country Skiing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/cross_country_skiing.png,cardiovascular,,True,True,True
1,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/cycling.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.713+0000,Cycling,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/cycling.png,cardiovascular,,True,True,True
42,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/dance.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.730+0000,Dance,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/dance.png,cardiovascular,,False,True,True
73,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/diving.svg,2015-11-09T21:13:59.056+0000,2022-06-03T20:06:45.745+0000,Diving,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/diving.png,non-cardiovascular,,False,True,True
49,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/duathlon.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:45.759+0000,Duathlon,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/duathlon.png,cardiovascular,,True,True,True
65,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/elliptical.svg,2014-06-20T18:41:51.246+0000,2022-06-03T20:06:45.774+0000,Elliptical,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/elliptical.png,cardiovascular,,False,True,True
19,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/fencing.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.788+0000,Fencing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/fencing.png,cardiovascular,,False,True,True
20,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/field_hockey.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.803+0000,Field Hockey,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/field_hockey.png,cardiovascular,,False,True,True
21,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/football.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.819+0000,Football,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/football.png,cardiovascular,,False,True,True
48,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/functional_fitness.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:45.836+0000,Functional Fitness,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/functional_fitness.png,cardiovascular,,False,True,True
111,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/gaelic-football.svg,2021-06-03T19:15:53.966+0000,2022-06-03T20:06:45.853+0000,Gaelic Football,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/gaelic-football.png,cardiovascular,,False,True,True
90,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/gaming.svg,2019-12-17T16:01:33.761+0000,2022-06-03T20:06:45.869+0000,Gaming,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/gaming.png,non-cardiovascular,,False,True,False
22,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/golf.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:45.885+0000,Golf,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/golf.png,non-cardiovascular,,True,True,True
51,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/gymnastics.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:45.900+0000,Gymnastics,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/gymnastics.png,non-cardiovascular,,False,True,True
96,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/hiit.svg,2020-10-01T20:12:02.307+0000,2022-06-03T20:06:45.918+0000,HIIT,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/hiit.png,cardiovascular,,False,True,True
109,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/high-stress-work.svg,2021-06-03T19:15:53.966+0000,2022-06-03T20:06:45.935+0000,High Stress Work,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/high-stress-work.png,non-cardiovascular,,False,True,False
52,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/hiking.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:45.951+0000,Hiking/Rucking,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/hiking.png,cardiovascular,,True,True,True
